workload_size,reduction_factor,overhead_case,binary_cost,pattern_cost,savings,savings_percent,break_even
1000,0.2,low,64000,16200.0,47800.0,74.69,yes
1000,0.2,medium,64000,24200.0,39800.0,62.19,yes
1000,0.2,high,64000,41200.0,22800.0,35.62,yes
1000,0.4,low,64000,27400.0,36600.0,57.19,yes
1000,0.4,medium,64000,35400.0,28600.0,44.69,yes
1000,0.4,high,64000,52400.0,11600.0,18.12,yes
1000,0.6,low,64000,38600.0,25400.0,39.69,yes
1000,0.6,medium,64000,46600.0,17400.0,27.19,yes
1000,0.6,high,64000,63600.0,400.0,0.62,yes
1000,0.8,low,64000,49800.0,14200.0,22.19,yes
1000,0.8,medium,64000,57800.0,6200.0,9.69,yes
1000,0.8,high,64000,74800.0,-10800.0,-16.88,no
10000,0.2,low,640000,162000.0,478000.0,74.69,yes
10000,0.2,medium,640000,242000.0,398000.0,62.19,yes
10000,0.2,high,640000,412000.0,228000.0,35.62,yes
10000,0.4,low,640000,274000.0,366000.0,57.19,yes
10000,0.4,medium,640000,354000.0,286000.0,44.69,yes
10000,0.4,high,640000,524000.0,116000.0,18.12,yes
10000,0.6,low,640000,386000.0,254000.0,39.69,yes
10000,0.6,medium,640000,466000.0,174000.0,27.19,yes
10000,0.6,high,640000,636000.0,4000.0,0.62,yes
10000,0.8,low,640000,498000.0,142000.0,22.19,yes
10000,0.8,medium,640000,578000.0,62000.0,9.69,yes
10000,0.8,high,640000,748000.0,-108000.0,-16.88,no
100000,0.2,low,6400000,1620000.0,4780000.0,74.69,yes
100000,0.2,medium,6400000,2420000.0,3980000.0,62.19,yes
100000,0.2,high,6400000,4120000.0,2280000.0,35.62,yes
100000,0.4,low,6400000,2740000.0,3660000.0,57.19,yes
100000,0.4,medium,6400000,3540000.0,2860000.0,44.69,yes
100000,0.4,high,6400000,5240000.0,1160000.0,18.12,yes
100000,0.6,low,6400000,3860000.0,2540000.0,39.69,yes
100000,0.6,medium,6400000,4660000.0,1740000.0,27.19,yes
100000,0.6,high,6400000,6360000.0,40000.0,0.62,yes
100000,0.8,low,6400000,4980000.0,1420000.0,22.19,yes
100000,0.8,medium,6400000,5780000.0,620000.0,9.69,yes
100000,0.8,high,6400000,7480000.0,-1080000.0,-16.88,no
1000000,0.2,low,64000000,16200000.0,47800000.0,74.69,yes
1000000,0.2,medium,64000000,24200000.0,39800000.0,62.19,yes
1000000,0.2,high,64000000,41200000.0,22800000.0,35.62,yes
1000000,0.4,low,64000000,27400000.0,36600000.0,57.19,yes
1000000,0.4,medium,64000000,35400000.0,28600000.0,44.69,yes
1000000,0.4,high,64000000,52400000.0,11600000.0,18.12,yes
1000000,0.6,low,64000000,38600000.0,25400000.0,39.69,yes
1000000,0.6,medium,64000000,46600000.0,17400000.0,27.19,yes
1000000,0.6,high,64000000,63600000.0,400000.0,0.62,yes
1000000,0.8,low,64000000,49800000.0,14200000.0,22.19,yes
1000000,0.8,medium,64000000,57800000.0,6200000.0,9.69,yes
1000000,0.8,high,64000000,74800000.0,-10800000.0,-16.88,no
