label,M,D,bits_per_symbol,separability_margin,sigma,trials,symbol_error_rate,throughput_proxy
Binary  M=2   D=1,2,1,1.0,1.0,0.01,500,0.0,1.0
Binary  M=2   D=1,2,1,1.0,1.0,0.03,500,0.0,1.0
Binary  M=2   D=1,2,1,1.0,1.0,0.05,500,0.0,1.0
Binary  M=2   D=1,2,1,1.0,1.0,0.07,500,0.0,1.0
Binary  M=2   D=1,2,1,1.0,1.0,0.1,500,0.0,1.0
Binary  M=2   D=1,2,1,1.0,1.0,0.15,500,0.0,1.0
Binary  M=2   D=1,2,1,1.0,1.0,0.2,500,0.002,0.998
OBC     M=4   D=2,4,2,2.0,1.0,0.01,500,0.0,2.0
OBC     M=4   D=2,4,2,2.0,1.0,0.03,500,0.0,2.0
OBC     M=4   D=2,4,2,2.0,1.0,0.05,500,0.0,2.0
OBC     M=4   D=2,4,2,2.0,1.0,0.07,500,0.0,2.0
OBC     M=4   D=2,4,2,2.0,1.0,0.1,500,0.0,2.0
OBC     M=4   D=2,4,2,2.0,1.0,0.15,500,0.002,1.996
OBC     M=4   D=2,4,2,2.0,1.0,0.2,500,0.02,1.96
OBC     M=8   D=2,8,2,3.0,0.5,0.01,500,0.0,3.0
OBC     M=8   D=2,8,2,3.0,0.5,0.03,500,0.0,3.0
OBC     M=8   D=2,8,2,3.0,0.5,0.05,500,0.0,3.0
OBC     M=8   D=2,8,2,3.0,0.5,0.07,500,0.0,3.0
OBC     M=8   D=2,8,2,3.0,0.5,0.1,500,0.008,2.976
OBC     M=8   D=2,8,2,3.0,0.5,0.15,500,0.138,2.586
OBC     M=8   D=2,8,2,3.0,0.5,0.2,500,0.25,2.25
OBC     M=16  D=2,16,2,4.0,0.3333,0.01,500,0.0,4.0
OBC     M=16  D=2,16,2,4.0,0.3333,0.03,500,0.0,4.0
OBC     M=16  D=2,16,2,4.0,0.3333,0.05,500,0.0,4.0
OBC     M=16  D=2,16,2,4.0,0.3333,0.07,500,0.02,3.92
OBC     M=16  D=2,16,2,4.0,0.3333,0.1,500,0.142,3.432
OBC     M=16  D=2,16,2,4.0,0.3333,0.15,500,0.408,2.368
OBC     M=16  D=2,16,2,4.0,0.3333,0.2,500,0.546,1.816
OBC     M=64  D=2,64,2,6.0,0.1429,0.01,500,0.0,6.0
OBC     M=64  D=2,64,2,6.0,0.1429,0.03,500,0.038,5.772
OBC     M=64  D=2,64,2,6.0,0.1429,0.05,500,0.268,4.392
OBC     M=64  D=2,64,2,6.0,0.1429,0.07,500,0.45,3.3
OBC     M=64  D=2,64,2,6.0,0.1429,0.1,500,0.674,1.956
OBC     M=64  D=2,64,2,6.0,0.1429,0.15,500,0.8,1.2
OBC     M=64  D=2,64,2,6.0,0.1429,0.2,500,0.874,0.756
OBC     M=4   D=4,4,4,2.0,1.0,0.01,500,0.0,2.0
OBC     M=4   D=4,4,4,2.0,1.0,0.03,500,0.0,2.0
OBC     M=4   D=4,4,4,2.0,1.0,0.05,500,0.0,2.0
OBC     M=4   D=4,4,4,2.0,1.0,0.07,500,0.0,2.0
OBC     M=4   D=4,4,4,2.0,1.0,0.1,500,0.0,2.0
OBC     M=4   D=4,4,4,2.0,1.0,0.15,500,0.0,2.0
OBC     M=4   D=4,4,4,2.0,1.0,0.2,500,0.006,1.988
OBC     M=16  D=4,16,4,4.0,1.0,0.01,500,0.0,4.0
OBC     M=16  D=4,16,4,4.0,1.0,0.03,500,0.0,4.0
OBC     M=16  D=4,16,4,4.0,1.0,0.05,500,0.0,4.0
OBC     M=16  D=4,16,4,4.0,1.0,0.07,500,0.0,4.0
OBC     M=16  D=4,16,4,4.0,1.0,0.1,500,0.0,4.0
OBC     M=16  D=4,16,4,4.0,1.0,0.15,500,0.0,4.0
OBC     M=16  D=4,16,4,4.0,1.0,0.2,500,0.028,3.888
OBC     M=64  D=4,64,4,6.0,0.5,0.01,500,0.0,6.0
OBC     M=64  D=4,64,4,6.0,0.5,0.03,500,0.0,6.0
OBC     M=64  D=4,64,4,6.0,0.5,0.05,500,0.0,6.0
OBC     M=64  D=4,64,4,6.0,0.5,0.07,500,0.002,5.988
OBC     M=64  D=4,64,4,6.0,0.5,0.1,500,0.016,5.904
OBC     M=64  D=4,64,4,6.0,0.5,0.15,500,0.21,4.74
OBC     M=64  D=4,64,4,6.0,0.5,0.2,500,0.384,3.696
OBC     M=128 D=7,128,7,7.0,1.0,0.01,500,0.0,7.0
OBC     M=128 D=7,128,7,7.0,1.0,0.03,500,0.0,7.0
OBC     M=128 D=7,128,7,7.0,1.0,0.05,500,0.0,7.0
OBC     M=128 D=7,128,7,7.0,1.0,0.07,500,0.0,7.0
OBC     M=128 D=7,128,7,7.0,1.0,0.1,500,0.0,7.0
OBC     M=128 D=7,128,7,7.0,1.0,0.15,500,0.004,6.972
OBC     M=128 D=7,128,7,7.0,1.0,0.2,500,0.056,6.608
